,firm,tv,radio,newpaper,magazine
0,회사명,TV,라디오,신문,잡지
1,삼성전자,11479225,423815,6203885,242300
2,KT,8380633,368017,905887,25100
3,LG전자,6748621,342048,1969787,114800
4,한국지엠,6791838,596281,662799,35200
5,현대자동차,4453752,414230,2817550,108300
6,기아자동차,4784181,568812,1586957,58800
7,NHN엔터테인먼트,6455304,504860,0,1500
8,LGU플러스,5524647,358048,28231,25000
9,SK텔레콤,3194934,59688,1921015,20800
10,아모레퍼시픽,2480966,181566,1322114,1134400
11,두산,3199424,0,1084821,25800
12,한국인삼공사,3542698,169576,541614,25500
13,롯데칠성음료,3457189,141924,331932,19900
14,케이투코리아,3804675,0,84597,33000
15,(주)하나은행,2408008,157411,794164,0
16,명인제약,2848176,162211,251457,0
17,재규어랜드로버코리아,2286523,72821,504439,269800
18,동국제약,2133859,270593,500123,63000
19,대한항공,2456815,303758,81479,123600
20,코웨이,2293019,79348,68408,269150
21,보건복지부,2598286,0,32486,0
22,엘시티피에프브이,2260883,205141,0,0
23,리치몬드코리아*,0,0,369814,2055700
24,롯데쇼핑,0,0,2291178,111400
25,한국코카콜라,2246704,65036,0,0
26,신한은행,0,18708,2220449,21000
27,바디프랜드,927610,0,1045710,253500
28,롯데하이마트,1973307,198861,49817,0
29,현대모비스,1548721,0,626311,37600
30,기업은행,1846240,248592,26232,35350
31,우아한형제들,2150017,0,0,0
32,동서식품,1804237,27302,216581,73800
33,일동제약,843435,35825,1197783,14000
34,삼성생명보험,1978901,0,58635,13000
35,삼성화재,1864104,57073,37401,10000
36,효성,1842360,0,63638,24000
37,이마트,0,0,1890344,8000
38,옥시레킷벤키저,1858230,26711,0,0
39,유한킴벌리,1735650,0,0,103100
40,한국암웨이,1128538,373513,0,320400
41,네이버,1797879,0,5992,0
42,블랙야크,1204191,137138,404453,41000
43,시몬스,1530528,0,0,226500
44,AIA생명보험,1186429,0,545569,0
45,유한양행,0,0,1665056,22000
46,르노삼성자동차,1364408,309790,0,0
47,써모스코리아,1616845,0,0,21000
48,국민건강보험공단,1303500,0,311316,0
49,경동나비엔,1522155,52137,0,0
50,KB금융지주,795099,0,750799,18000
51,OB맥주,1416920,0,0,143800
52,에이스침대,1399534,75906,0,63000
53,FRL코리아,1407939,0,29915,92000
54,현대해상화재보험,1307868,143461,41257,33500
55,동화약품,1352396,57637,75393,12000
56,한국생산성본부,0,0,1478392,0
57,한국솔가,1144061,0,304352,26750
58,맥도날드,1421254,22274,0,0
59,LG하우시스,1337516,0,65044,28500
60,한국주택금융공사,1150050,0,264986,0
61,커뮤즈파트너스,0,0,1412403,2000
62,한국메나리니,1318595,92493,0,0
63,KDB대우증권,928535,231424,211713,20300
64,넥센타이어,981231,0,381851,0
65,매일유업,1316715,0,4488,35500
66,SK루브리컨츠주식회사,1341245,0,0,0
67,정식품,791593,5904,505001,12000
68,롯데칠성음료주류BG,874912,0,424445,9500
69,CJ제일제당,423805,67390,695528,119500
70,농심,1277215,23644,0,4500
71,LG생활건강,399589,185351,87365,611900
72,청호나이스,1232141,0,17591,10000
73,코로프라,1224726,0,0,0
74,삼진제약,404029,23889,778529,0
75,롯데마트,0,0,1205965,0
76,광동제약,931663,105289,159334,0
77,잔디로,0,0,1167969,24000
78,대우건설,0,293733,889092,3050
79,새마을금고중앙회,1129946,47311,2835,0
80,한국피앤지,921535,84858,0,162000
81,유한크로락스,105709,0,1015070,0
82,현대자동차그룹,0,0,1116708,0
83,G&G,0,0,1095379,10500
84,네파,901560,0,182055,14000
85,오리엔트골프,0,0,998318,80400
86,솔고바이오메디칼,0,0,1063844,0
87,나이키코리아,972895,0,0,76000
88,오뚜기,1024307,0,0,16000
89,신한카드,0,0,1020108,0
90,쿠쿠전자,978006,35107,0,0
91,LOK,0,0,112455,899700
92,넷마블게임즈,967649,41539,0,0
93,모두,0,0,1008809,0
94,네오위즈게임즈,1005848,0,0,2500
95,일룸,1003597,0,0,0
96,라이나생명보험,0,0,989795,3500
97,기상청,984500,0,0,0
98,20세기폭스사,963176,0,0,13000
99,대신증권,186993,0,766483,10500
