,firm,tv,radio,newpaper,magazine
0,회사명,TV,라디오,신문,잡지
1,삼성전자,8571937,255932,6769684,223800
2,현대자동차,4929457,448627,2711580,115300
3,아모레퍼시픽,4563944,222294,1742959,987600
4,LG전자,5587791,72904,1298358,184400
5,KT,4792340,317334,1120930,33100
6,롯데쇼핑,2110688,0,2881916,220000
7,한국인삼공사,4486631,193680,14399,48000
8,기아자동차,2635105,627827,1147797,57500
9,시몬스,3390080,0,0,262000
10,동국제약,2646366,281995,609680,65500
11,바디프랜드,1297814,0,1959124,192900
12,명인제약,3058292,36700,131642,0
13,르노삼성자동차,2162525,303459,575494,91900
14,롯데칠성음료,2643182,86569,287859,18300
15,한국지엠,2586499,401228,2468,28000
16,FRL코리아,2834517,0,0,4000
17,롯데하이마트,2190868,70427,421428,5000
18,NHN엔터테인먼트,2673469,0,0,1500
19,동서식품,2411136,0,24833,176000
20,현대모비스,1707873,0,840774,45300
21,신한은행,751438,0,1821373,14500
22,기업은행,1821891,245839,430993,44850
23,AIA생명보험,819856,0,1614921,0
24,한화공동,2422018,0,2025,0
25,구글코리아,2369350,0,0,0
26,SK이노베이션,0,0,2300616,0
27,트리바고,2261926,0,0,0
28,맥도날드,2164100,24922,0,0
29,하이트진로,1678076,72928,423964,7800
30,광동제약,1797604,34620,255639,0
31,두산,2061759,0,0,8000
32,이마트,0,0,1929474,49000
33,AXA다이렉트,1879316,92948,0,0
34,일동제약,766076,21489,1150870,5000
35,동아제약,1467184,0,414492,36500
36,삼성생명보험,1757578,0,48106,27800
37,리치몬드코리아*,0,0,202180,1576600
38,써모스코리아,1495437,259675,0,13500
39,하남유니온스퀘어,1507017,134371,93655,3300
40,한불모터스,1650992,0,0,66000
41,카버코리아,1228512,347163,0,100000
42,한국코카콜라,1552274,52082,0,0
43,국민건강보험공단,1372800,0,210158,0
44,와이드앵글,1527515,0,0,0
45,SK(주),7314,0,1505676,11000
46,국민은행,0,0,1509679,13000
47,에이스침대,1310133,83397,0,59000
48,풀무원,1423550,0,0,4500
49,삼성화재,1323290,43368,43235,3000
50,SK브로드밴드,1392700,0,0,0
51,삼진제약,367831,55199,933175,0
52,CJ제일제당,0,99003,1080682,170600
53,롯데마트,0,0,1347321,0
54,보건복지부,1318900,0,15888,0
55,대한항공,1109031,133908,58815,32500
56,블랙야크,778398,138573,347362,29500
57,이브자리,1197355,79351,0,2000
58,LG하우시스,1146118,0,84060,34500
59,대우건설,0,272816,975337,4300
60,새마을금고중앙회,1174855,47849,6139,0
61,에쓰오일,767034,43800,391452,2000
62,홈앤쇼핑,1194301,0,0,0
63,쿠첸,1140635,0,0,41500
64,현대자동차그룹,0,0,1181342,0
65,한국토지신탁,2995,0,1176929,0
66,한국메나리니,1123090,53103,0,0
67,LG생활건강,451960,107902,100888,495500
68,스케쳐스코리아,1137666,0,0,0
69,구찌코리아,0,0,661538,459000
70,쿠쿠전자,1061988,42289,0,0
71,농심,1094615,6210,0,2500
72,롯데쇼핑롯데엔터테인먼트,995519,42672,52327,0
73,한국수력원자력,999475,0,80457,6800
74,한국암웨이,209662,589890,0,282850
75,LG,0,0,979095,75000
76,제이준코스메틱,884006,150294,0,0
77,UPI코리아,1029773,0,0,0
78,신세계인터내셔날,0,0,152545,870500
79,한국생산성본부,0,0,1022949,0
80,동원F&B,904454,99944,990,9500
81,일룸,849297,84192,24003,53600
82,롯데칠성음료주류BG,782322,0,184185,13500
83,동화약품,924984,23576,0,23500
84,롯데네슬레코리아,956991,0,0,5500
85,이덕아이앤씨,949485,0,0,0
86,잔디로,0,0,931876,15500
87,우유자조금관리위원회,933900,0,0,0
88,현대해상화재보험,670240,155568,57337,38300
89,까스텔바쟉,851963,0,33211,35000
90,CJE&M,732495,0,27846,153000
91,프리드라이프,52975,0,852499,0
92,유한양행,0,0,870668,28900
93,한국피앤지,673298,130868,0,84000
94,정식품,562622,5904,312569,0
95,엘브이엠에치,292861,0,0,586500
96,소상공인시장진흥공단,173448,29638,666299,0
97,한국토요타자동차,459136,144439,222710,39000
98,기상청,861850,0,0,0
99,애플,767125,0,0,86000
100,OB맥주,838336,0,0,3000
