■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2019-10-26,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 1980~2019   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
23,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-04-23,개봉영화,장편,미국,"1,843","88,582,586,366","10,494,499","25,001,906,266","2,823,388",액션,12세이상관람가,일반영화
24,겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,개봉영화,장편,미국,"1,010","82,461,504,400","10,296,101","25,847,243,500","3,003,446",애니메이션,전체관람가,일반영화
25,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,"1,342","82,274,331,200","10,273,803","25,500,349,600","3,079,036",SF,12세이상관람가,일반영화
26,기생충,봉준호,(주)바른손이앤에이,,씨제이이앤엠(주),2019-05-30,개봉영화,장편,한국,"1,948","85,863,534,245","10,082,824","23,426,367,515","2,690,958",드라마,15세이상관람가,일반영화
27,보헤미안 랩소디,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-10-31,개봉영화,장편,미국,936,"86,280,975,785","9,948,386","27,849,793,695","3,097,336",드라마,12세이상관람가,일반영화
28,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,개봉영화,장편,한국,"1,812","77,252,755,264","9,699,092","18,302,525,664","2,219,587",범죄,15세이상관람가,일반영화
29,엑시트,이상근,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2019-07-31,개봉영화,장편,한국,"1,660","79,142,136,162","9,412,450","18,499,220,352","2,128,933",코미디,12세이상관람가,일반영화
30,관상,한재림,"(주)주피터필름,(주)쇼박스",,(주)쇼박스,2013-09-11,개봉영화,장편,한국,"1,190","66,005,451,500","9,134,586","19,311,179,000","2,561,744",사극,15세이상관람가,일반영화
31,아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,개봉영화,장편,미국,"1,381","70,806,191,000","9,001,309","21,668,935,500","2,595,269",액션,12세이상관람가,일반영화
32,설국열차,봉준호,"(주)모호필름,오퍼스픽쳐스(유)",,씨제이이앤엠(주),2013-08-01,개봉영화,장편,한국,"1,128","64,016,480,000","8,914,845","18,975,866,000","2,550,437",SF,15세이상관람가,일반영화
33,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,개봉영화,장편,미국,"1,991","72,672,111,827","8,677,249","21,248,121,149","2,400,069",액션,12세이상관람가,일반영화
34,수상한 그녀,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",,씨제이이앤엠(주),2014-01-22,개봉영화,장편,한국,692,"62,696,639,249","8,656,397","15,358,810,049","2,042,110",드라마,15세이상관람가,일반영화
35,해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838,"66,240,631,706","8,646,758","14,906,345,006","1,868,694",어드벤처,12세이상관람가,일반영화
36,국가대표,김용화,케이엠컬쳐㈜,,(주)쇼박스,2009-07-29,개봉영화,장편,한국,580,"60,896,633,308","8,487,894","16,782,332,500","2,213,346",드라마,12세이상관람가,일반영화
37,디워,심형래,㈜영구아트,,(주)쇼박스,2007-08-01,개봉영화,장편,한국,0,0,"8,426,973",0,"2,098,438",액션,12세이상관람가,일반영화
38,과속스캔들,강형철,"(주)토일렛픽쳐스,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2008-12-03,개봉영화,장편,한국,405,"53,940,101,534","8,245,523","16,515,292,833","2,390,408",코미디,12세이상관람가,일반영화
39,스파이더맨: 파 프롬 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,개봉영화,장편,미국,"2,142","69,000,744,100","8,020,211","18,515,112,400","2,051,196",액션,12세이상관람가,일반영화
40,웰컴 투 동막골,박광현,"필름있수다,(주)쇼박스",,(주)쇼박스,2005-08-04,개봉영화,장편,한국,0,0,"8,008,622",0,"2,435,088",전쟁,12세관람가,일반영화
41,공조,김성훈,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",,씨제이이앤엠(주),2017-01-18,개봉영화,장편,한국,976,"63,781,731,326","7,817,446","14,672,808,676","1,744,624",액션,15세이상관람가,일반영화
42,트랜스포머 3,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2011-06-29,개봉영화,장편,미국,"1,409","74,841,350,500","7,784,807","21,746,223,000","2,143,018",액션,12세이상관람가,일반영화
43,히말라야,이석훈,(주)제이케이필름,,씨제이이앤엠(주),2015-12-16,개봉영화,장편,한국,"1,009","60,173,583,015","7,759,473","13,920,553,930","1,738,016",드라마,12세이상관람가,일반영화
44,미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,씨제이이앤엠(주),씨제이이앤엠(주),2011-12-15,개봉영화,장편,미국,"1,038","57,795,846,000","7,575,899","18,719,283,500","2,347,164",액션,15세이상관람가,일반영화
45,트랜스포머: 패자의 역습,마이클 베이,"드림웍스 SKG,파라마운트 픽쳐스",씨제이엔터테인먼트,씨제이엔터테인먼트,2009-06-24,개봉영화,장편,미국,"1,129","51,478,531,663","7,505,700","16,083,028,500","2,200,557",SF,12세이상관람가,일반영화
46,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,"1,444","61,158,644,831","7,487,545","15,436,298,021","1,827,424",액션,15세이상관람가,일반영화
47,최종병기 활,김한민,"(주)디씨지플러스,(주)다세포클럽",,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,개봉영화,장편,한국,615,"55,808,856,500","7,466,976","16,139,541,000","2,059,847",사극,15세이상관람가,일반영화
48,트랜스포머,마이클 베이,"드림웍스픽쳐스,드림웍스 SKG,파라마운트 픽쳐스",씨제이엔터테인먼트,씨제이엔터테인먼트,2007-06-28,개봉영화,장편,미국,0,0,"7,440,531",0,"2,300,866",SF,12세이상관람가,일반영화
49,써니,강형철,"(주)알로하픽쳐스,(주)토일렛픽쳐스",,씨제이이앤엠(주),2011-05-04,개봉영화,장편,한국,472,"53,773,170,600","7,328,820","15,401,904,600","2,004,824",드라마,15세이상관람가,일반영화
50,화려한 휴가,김지훈,기획시대(주),,씨제이엔터테인먼트,2007-07-25,개봉영화,장편,한국,0,0,"7,307,993",0,"2,009,666",드라마,12세이상관람가,일반영화
51,스파이더맨: 홈 커밍,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,개봉영화,장편,미국,"1,965","59,120,173,820","7,257,973","16,753,103,620","1,969,107",액션,12세이상관람가,일반영화
52,1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,"1,299","58,165,581,145","7,231,638","14,638,920,495","1,776,877",드라마,15세이상관람가,일반영화
53,베를린,류승완,"(주)외유내강,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-01-30,개봉영화,장편,한국,894,"52,354,931,637","7,166,199","16,070,379,637","2,118,794",액션,15세이상관람가,일반영화
54,마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,"1,501","58,067,927,865","7,150,541","14,520,299,965","1,731,940",액션,15세이상관람가,일반영화
55,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,개봉영화,장편,한국,"1,105","57,510,324,417","7,118,592","14,121,558,017","1,675,010",드라마,12세이상관람가,일반영화
56,어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,개봉영화,장편,미국,967,"59,557,853,478","7,074,867","19,280,107,897","2,147,619",액션,12세이상관람가,일반영화
57,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,개봉영화,장편,한국,"1,075","56,596,582,057","7,071,763","16,340,245,357","1,972,885",범죄,청소년관람불가,일반영화
58,인천상륙작전,이재한,(주)태원엔터테인먼트,,씨제이이앤엠(주),2016-07-27,개봉영화,장편,한국,"1,049","55,101,410,303","7,049,643","11,459,996,563","1,427,944",전쟁,12세이상관람가,일반영화
59,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,"1,158","56,361,435,256","6,965,706","13,812,629,836","1,640,015",코미디,15세이상관람가,일반영화
60,은밀하게 위대하게,장철수,(주)엠씨엠씨,,(주)쇼박스,2013-06-05,개봉영화,장편,한국,"1,341","48,663,939,413","6,953,800","12,415,574,413","1,691,014",액션,15세이상관람가,일반영화
61,곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2016-05-12,개봉영화,장편,한국,"1,485","55,853,108,382","6,878,264","15,445,041,342","1,829,923",미스터리,15세이상관람가,일반영화
62,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,개봉영화,장편,한국,"1,315","56,077,813,249","6,851,297","14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화
63,타짜,최동훈,"(주)영화사참,(주)싸이더스",,씨제이엔터테인먼트,2006-09-28,개봉영화,장편,한국,0,0,"6,847,777",0,"2,091,058",드라마,18세관람가,일반영화
64,"좋은 놈, 나쁜 놈, 이상한 놈",김지운,"(주)다크서클픽쳐스,(주)바른손이앤에이",,씨제이엔터테인먼트,2008-07-17,개봉영화,장편,한국,825,"43,768,628,939","6,686,912","13,860,913,000","2,012,173",서부극(웨스턴),15세이상관람가,일반영화
65,늑대소년,조성희,(주)영화사비단길,,씨제이이앤엠(주),2012-10-31,개봉영화,장편,한국,706,"46,593,107,500","6,654,837","12,336,313,500","1,677,173",멜로/로맨스,15세이상관람가,일반영화
66,미녀는 괴로워,김용화,"리얼라이즈픽쳐스(주),케이엠컬쳐㈜",,(주)쇼박스,2006-12-14,개봉영화,장편,한국,0,0,"6,619,498",0,"1,934,910",멜로/로맨스,12세이상관람가,일반영화
67,군함도,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2017-07-26,개봉영화,장편,한국,"2,027","50,510,565,168","6,592,151","11,091,878,868","1,398,649",액션,15세이상관람가,일반영화
68,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,개봉영화,장편,미국,"1,957","55,888,375,112","6,584,915","14,891,043,562","1,686,255",액션,15세이상관람가,일반영화
69,다크 나이트 라이즈,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-07-19,개봉영화,장편,미국,"1,210","47,644,838,000","6,396,528","16,258,149,500","2,057,529",액션,15세이상관람가,일반영화
70,아저씨,이정범,오퍼스픽쳐스(유),,씨제이엔터테인먼트,2010-08-04,개봉영화,장편,한국,478,"47,870,792,359","6,282,774","14,820,865,000","1,863,328",액션,청소년관람불가,일반영화
71,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,개봉영화,장편,한국,"1,210","48,842,902,501","6,246,849","12,987,928,301","1,606,486",사극,12세이상관람가,일반영화
72,전우치,최동훈,영화사 집,,씨제이엔터테인먼트,2009-12-23,개봉영화,장편,한국,606,"44,605,437,017","6,136,928","12,917,834,500","1,684,123",액션,12세이상관람가,일반영화
73,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,개봉영화,장편,미국,"1,202","48,547,353,607","6,126,488","13,751,315,607","1,669,524",액션,15세이상관람가,일반영화
74,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,개봉영화,장편,미국,706,"50,333,635,795","6,125,154","16,707,645,195","1,968,882",액션,청소년관람불가,일반영화
75,투사부일체,김동원,(주)시네마제니스,,씨제이엔터테인먼트,2006-01-19,개봉영화,장편,한국,0,0,"6,105,431",0,"1,502,821",코미디,15세관람가,일반영화
76,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,개봉영화,장편,한국,"1,013","45,560,620,330","6,043,458","9,906,059,630","1,265,879",드라마,12세이상관람가,일반영화
77,반지의 제왕 : 왕의 귀환,피터 잭슨,,(주)태원엔터테인먼트,씨제이엔터테인먼트,2003-12-17,개봉영화,장편,미국,0,0,"5,960,000",0,"1,905,567",판타지,12세관람가,일반영화
78,인셉션,크리스토퍼 놀란,"워너 브러더스 픽쳐스,레젼데리 픽쳐스",워너브러더스 코리아(주),워너브러더스 코리아(주),2010-07-21,개봉영화,장편,미국,528,"44,106,546,302","5,926,948","15,810,485,000","2,026,998",드라마,12세이상관람가,일반영화
79,레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,개봉영화,장편,미국,696,"43,044,999,000","5,911,890","16,482,217,500","2,190,090",드라마,12세이상관람가,일반영화
80,쉬리,강제규,강제규필름,,,1999-02-13,개봉영화,장편,한국,0,0,"5,820,000",0,"2,448,399",액션,15세 미만인 자는 관람할 수 없는 등급,일반영화
81,캡틴 마블,"애너 보든,라이언 플렉",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,개봉영화,장편,미국,"2,100","51,491,279,223","5,801,070","15,433,916,683","1,650,933",액션,12세이상관람가,일반영화
82,미션 임파서블 3,J.J. 에이브럼스,"파라마운트 픽쳐스,크루즈/와그너 프로덕션",UIP코리아,UIP코리아,2006-05-03,개봉영화,장편,미국,0,0,"5,740,789",0,"1,584,202",액션,15세관람가,일반영화
83,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,개봉영화,장편,미국,"1,972","49,770,711,037","5,661,128","12,526,470,537","1,342,621",액션,12세이상관람가,일반영화
84,청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,개봉영화,장편,한국,"1,102","44,241,099,316","5,636,259","9,885,607,016","1,207,318",액션,15세이상관람가,일반영화
85,가문의 위기(가문의 영광2),정용기,(주)태원엔터테인먼트,,(주)쇼박스,2005-09-07,개봉영화,장편,한국,0,0,"5,635,266",0,"1,451,468",코미디,15세관람가,일반영화
86,숨바꼭질,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,개봉영화,장편,한국,779,"39,593,038,500","5,602,543","10,079,982,000","1,356,936",스릴러,15세이상관람가,일반영화
87,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964,"44,344,141,109","5,593,551","10,625,578,869","1,304,324",사극,12세이상관람가,일반영화
88,더 테러 라이브,김병우,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,개봉영화,장편,한국,743,"39,866,712,881","5,583,596","11,349,884,881","1,525,130",범죄,15세이상관람가,일반영화
89,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,"1,290","47,800,698,826","5,546,792","13,625,824,326","1,502,391",액션,12세이상관람가,일반영화
90,의형제,장훈,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",,(주)쇼박스,2010-02-04,개봉영화,장편,한국,572,"40,800,867,602","5,507,106","12,204,373,500","1,563,042",드라마,15세이상관람가,일반영화
91,감시자들,"조의석,김병서",영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,개봉영화,장편,한국,949,"39,298,005,179","5,496,547","11,031,549,179","1,477,594",범죄,15세이상관람가,일반영화
92,2012,롤랜드 에머리히,센트로폴리스 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12,개봉영화,장편,미국,789,"39,415,166,660","5,462,953","11,671,854,500","1,528,658",SF,12세이상관람가,일반영화
93,앤트맨과 와스프,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,개봉영화,장편,미국,"1,775","47,465,443,185","5,447,826","13,821,594,585","1,503,229",액션,12세이상관람가,일반영화
94,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,개봉영화,장편,미국,"1,503","47,482,530,396","5,446,379","15,365,072,146","1,657,823",액션,12세이상관람가,일반영화
95,검은 사제들,장재현,영화사 집,,씨제이이앤엠(주),2015-11-05,개봉영화,장편,한국,"1,088","42,395,347,092","5,440,945","11,618,059,792","1,428,491",미스터리,15세이상관람가,일반영화
96,안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,개봉영화,장편,한국,"1,540","46,335,334,026","5,440,186","10,028,662,426","1,146,191",사극,12세이상관람가,일반영화
97,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,개봉영화,장편,미국,"1,620","45,883,143,457","5,398,994","13,105,688,057","1,468,761",액션,12세이상관람가,일반영화
98,더 킹,한재림,(주)우주필름,,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,개봉영화,장편,한국,"1,310","43,486,078,535","5,316,325","11,144,618,435","1,318,493",범죄,15세이상관람가,일반영화
99,완득이,이한,"(주)유비유필름,어나더픽쳐스(주)",,씨제이이앤엠(주),2011-10-20,개봉영화,장편,한국,500,"38,530,503,500","5,310,510","11,657,798,500","1,525,277",드라마,12세이상관람가,일반영화
100,트랜스포머: 사라진 시대,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2014-06-25,개봉영화,장편,미국,"1,602","44,012,272,845","5,295,801","11,664,376,045","1,323,527",액션,12세이상관람가,일반영화
101,완벽한 타인,이재규,"(주)필름몬스터,드라마하우스(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,개봉영화,장편,한국,"1,313","44,356,752,474","5,294,119","11,870,044,374","1,373,292",드라마,15세이상관람가,일반영화
102,살인의 추억,봉준호,(주)싸이더스,,씨제이엔터테인먼트,2003-04-25,개봉영화,장편,한국,0,N/A,"5,255,376",N/A,"1,912,715",스릴러,15세관람가,일반영화
103,월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,개봉영화,장편,미국,964,"38,555,357,000","5,237,525","12,048,296,500","1,562,677",드라마,15세이상관람가,일반영화
104,반지의 제왕 : 두개의 탑,피터 잭슨,,"(주)태원엔터테인먼트,㈜에스앤엠코리아",(주)시네마서비스,2002-12-19,개봉영화,장편,미국,0,0,"5,183,000",0,"1,787,872",액션,12세관람가,일반영화
105,타워,김지훈,"씨제이이앤엠(주),(주)더타워픽쳐스",,씨제이이앤엠(주),2012-12-25,개봉영화,장편,한국,617,"37,654,858,000","5,181,014","9,052,298,500","1,186,378",드라마,12세이상관람가,일반영화
106,말아톤,정윤철,시네라인투(주),,(주)쇼박스,2005-01-27,개봉영화,장편,한국,0,0,"5,148,022",0,"1,552,548",드라마,전체관람가,일반영화
107,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,"1,627","42,130,589,579","5,137,993","13,177,630,229","1,531,839",멜로/로맨스,전체관람가,일반영화
108,추격자,나홍진,(주)영화사비단길,,(주)쇼박스,2008-02-14,개봉영화,장편,한국,435,"33,943,278,500","5,071,619","11,611,882,500","1,662,668",범죄,청소년관람불가,일반영화
109,독전,이해영,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,"1,357","43,484,892,913","5,063,620","10,658,158,413","1,201,461",범죄,15세이상관람가,일반영화
110,쿵푸팬더 2,여인영,,씨제이이앤엠(주),씨제이이앤엠(주),2011-05-26,개봉영화,장편,미국,948,"44,298,724,500","5,062,722","14,917,759,000","1,575,363",애니메이션,전체관람가,일반영화
111,아쿠아맨,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-12-19,개봉영화,장편,미국,"1,285","44,113,456,704","5,038,134","11,897,439,184","1,294,275",액션,12세이상관람가,일반영화
112,공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",,씨제이이앤엠(주),2018-08-08,개봉영화,장편,한국,"1,317","42,759,410,176","4,971,261","10,296,507,676","1,158,151",드라마,12세이상관람가,일반영화
